0,1,2,3,4,5,6
"Larger schemes tend to hold a higher proportion of private/unquoted equity within their equity portfolio, and a higher proportion of corporate bonds in their bond portfolio.",,,,,,
,,Bonds,,,Equities,
,,,,,,Unquoted/
Asset size,Government,Corporate,Index-linked,UK quoted  Overseas quoted,,Private
Under £5m,27.7%,3 7.9%,34.4%,33.1%,65.3%,1.6%
£5m–£10m,28.6%,34.6%,36.8%,34.4%,63.5%,2.1%
£10m–£100m,28.0%,27.4%,44.6%,20.5%,74.2%,5.3%
£100m–£1bn,23.1%,30.6%,46.3%,10.8%,76.3%,12.9%
Over £1bn,17. 5%,39.1%,43.3%,5.1%,57.4%,3 7.6%
