0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"As scheme maturity increases, the combined proportion of bonds and annuities increases.",,,,,,,,,,,"Open schemes have a lower proportion of bonds, and a higher proportion of equities, than closed schemes.",,,,,,,,
Proportion of liabilities,Total assets,,,Cash and,,,Diversified,Absolute,,,Total assets,,,Cash and,,,Diversified,Absolute,
relating to current pensioners,£bn,Equities,Bonds,deposits,Property,Annuities,growth funds,returns,Miscellaneous,Scheme status,£bn,Equities,Bonds,deposits,Property,Annuities,growth funds,,returns  Miscellaneous
Under 25%,24.0,18.7%,68.8%,-2.0%,5.9%,2.7%,2.3%,2.7%,0.9%,Open,155.6,42.1%,49.7%,-3.4%,6.5%,0.5%,0.2%,2.4%,2.0%
25%–50%,288.9,27.6%,63.8%,-6.7%,5.7%,5.7%,0.5%,1.9%,1.5%,Closed to new members,368.1,13.7%,75.3%,-5.2%,6.1%,5.5%,0.7%,2.4%,1.5%
50%–75%,646.2,10.9%,7 7. 3%,-10.5%,5.0%,12.7%,0.9%,2.2%,1.5%,Closed to new benefit accrual,519.8,8.8%,76.3%,-11.5%,4.0%,18.4%,0.9%,1.9%,1.2%
75%–100%,109.0,6.5%,48.5%,3.4%,2.8%,35.5%,0.3%,2.4%,0.6%,,,,,,,,,,
,,,,,,,,,,120,,,,,,,,,
